#Data    ; Gap       ; Datasieving ; Buffer ; Performance
#Byte    ; Byte      ; on/off      ; MByte  ; MByte/s
20480    ; 122880    ; 0           ; 1      ; 6           
20480    ; 122880    ; 0           ; 1      ; 6           
20480    ; 122880    ; 0           ; 1      ; 6           
20480    ; 143360    ; 0           ; 1      ; 6           
20480    ; 143360    ; 0           ; 1      ; 6           
20480    ; 143360    ; 0           ; 1      ; 7           
20480    ; 143360    ; 0           ; 1      ; 6           
20480    ; 143360    ; 0           ; 1      ; 6           
20480    ; 163840    ; 0           ; 1      ; 6           
20480    ; 163840    ; 0           ; 1      ; 6           
20480    ; 163840    ; 0           ; 1      ; 6           
20480    ; 163840    ; 0           ; 1      ; 6           
20480    ; 163840    ; 0           ; 1      ; 6           
20480    ; 184320    ; 0           ; 1      ; 8           
20480    ; 184320    ; 0           ; 1      ; 8           
20480    ; 184320    ; 0           ; 1      ; 8           
20480    ; 184320    ; 0           ; 1      ; 8           
20480    ; 184320    ; 0           ; 1      ; 8           
20480    ; 204800    ; 0           ; 1      ; 6           
20480    ; 204800    ; 0           ; 1      ; 6           
20480    ; 204800    ; 0           ; 1      ; 5           
20480    ; 204800    ; 0           ; 1      ; 6           
20480    ; 204800    ; 0           ; 1      ; 6           
20480    ; 225280    ; 0           ; 1      ; 6           
20480    ; 225280    ; 0           ; 1      ; 6           
20480    ; 225280    ; 0           ; 1      ; 6           
20480    ; 225280    ; 0           ; 1      ; 6           
20480    ; 225280    ; 0           ; 1      ; 6           
32768    ; 0         ; 1           ; 1      ; 100         
32768    ; 0         ; 1           ; 1      ; 98          
32768    ; 0         ; 1           ; 1      ; 100         
32768    ; 0         ; 1           ; 1      ; 97          
32768    ; 0         ; 1           ; 1      ; 99          
32768    ; 512       ; 1           ; 1      ; 91          
32768    ; 512       ; 1           ; 1      ; 94          
32768    ; 512       ; 1           ; 1      ; 93          
32768    ; 512       ; 1           ; 1      ; 95          
32768    ; 512       ; 1           ; 1      ; 96          
32768    ; 1024      ; 1           ; 1      ; 93          
32768    ; 1024      ; 1           ; 1      ; 94          
32768    ; 1024      ; 1           ; 1      ; 94          
32768    ; 1024      ; 1           ; 1      ; 91          
32768    ; 1024      ; 1           ; 1      ; 95          
32768    ; 2048      ; 1           ; 1      ; 88          
32768    ; 2048      ; 1           ; 1      ; 90          
32768    ; 2048      ; 1           ; 1      ; 90          
32768    ; 2048      ; 1           ; 1      ; 90          
32768    ; 2048      ; 1           ; 1      ; 89          
32768    ; 4096      ; 1           ; 1      ; 84          
32768    ; 4096      ; 1           ; 1      ; 86          
32768    ; 4096      ; 1           ; 1      ; 87          
32768    ; 4096      ; 1           ; 1      ; 86          
32768    ; 4096      ; 1           ; 1      ; 85          
32768    ; 8192      ; 1           ; 1      ; 78          
32768    ; 8192      ; 1           ; 1      ; 77          
32768    ; 8192      ; 1           ; 1      ; 77          
32768    ; 8192      ; 1           ; 1      ; 77          
32768    ; 8192      ; 1           ; 1      ; 78          
32768    ; 16384     ; 1           ; 1      ; 64          
32768    ; 16384     ; 1           ; 1      ; 65          
32768    ; 16384     ; 1           ; 1      ; 66          
32768    ; 16384     ; 1           ; 1      ; 64          
